geo_value,time_value,indicator,indicator_value
42079,11/1/20,communityIll_value,25.3750946
42079,11/2/20,communityIll_value,25.8667995
42079,11/3/20,communityIll_value,25.6123234
42079,11/4/20,communityIll_value,25.292658
42079,11/5/20,communityIll_value,26.3191487
42079,11/6/20,communityIll_value,25.1630806
42079,11/7/20,communityIll_value,26.852776
42079,11/8/20,communityIll_value,28.3859011
42079,11/9/20,communityIll_value,29.1389439
42079,11/10/20,communityIll_value,31.8717475
42079,11/11/20,communityIll_value,31.8532198
42079,11/12/20,communityIll_value,32.26923
42079,11/13/20,communityIll_value,31.1888934
42079,11/14/20,communityIll_value,30.7780924
42079,11/15/20,communityIll_value,31.8675048
42079,11/16/20,communityIll_value,31.5275829
42079,11/17/20,communityIll_value,32.7804661
42079,11/18/20,communityIll_value,34.1612992
42079,11/19/20,communityIll_value,34.2989836
42079,11/20/20,communityIll_value,36.4921482
42079,11/21/20,communityIll_value,37.3362713
42079,11/22/20,communityIll_value,37.0391673
42079,11/23/20,communityIll_value,38.8947914
42079,11/24/20,communityIll_value,36.9150821
42079,11/25/20,communityIll_value,36.0239438
42079,11/26/20,communityIll_value,36.7880992
42079,11/27/20,communityIll_value,37.0137151
42079,11/28/20,communityIll_value,36.5658108
42079,11/29/20,communityIll_value,37.8637189
42079,11/30/20,communityIll_value,36.9533845
42079,12/1/20,communityIll_value,39.5135542
42081,10/1/20,communityIll_value,20.7354543
42081,10/2/20,communityIll_value,19.8143623
42081,10/3/20,communityIll_value,14.9667904
42081,10/4/20,communityIll_value,17.0958417
42081,10/5/20,communityIll_value,12.5844152
42081,10/6/20,communityIll_value,13.3007713
42081,10/7/20,communityIll_value,18.0807614
42081,10/8/20,communityIll_value,19.8219216
42081,10/9/20,communityIll_value,22.4283705
42081,10/10/20,communityIll_value,25.4265987
42081,10/11/20,communityIll_value,24.166496
42081,10/12/20,communityIll_value,25.8803306
42081,10/13/20,communityIll_value,25.005559
42081,10/14/20,communityIll_value,23.8247289
42081,10/15/20,communityIll_value,23.1644013
42081,10/16/20,communityIll_value,20.7764702
42081,10/17/20,communityIll_value,19.2642709
42081,10/18/20,communityIll_value,18.808618
42081,10/19/20,communityIll_value,18.2153966
42081,10/20/20,communityIll_value,17.1000799
42081,10/21/20,communityIll_value,14.9966929
42081,10/22/20,communityIll_value,12.9291895
